id,type,domain,enabled,date_added,date_modified,comment
225,0,partners.webmasterplan.com,1,1660604257,1660604257,
226,0,pjatr.com,1,1660604258,1660604258,
227,0,pjtra.com,1,1660604259,1660604259,
228,0,pntrac.com,1,1660604259,1660604259,
229,0,pntrack.com,1,1660604260,1660604260,
230,0,pntra.com,1,1660604260,1660604260,
231,0,qksrv.net,1,1660604261,1660604261,
232,0,redirect.at,1,1660604262,1660604262,
233,0,redirectingat.com,1,1660604262,1660604262,
234,0,redirect.viglink.com,1,1660604263,1660604263,
235,0,shareasale-analytics.com,1,1660604264,1660604264,
236,0,shareasale.com,1,1660604266,1660604266,
237,0,tc.tradetracker.com,1,1660604267,1660604267,
238,0,tkqlhce.com,1,1660604267,1660604267,
239,0,track.adform.net,1,1660604268,1660604268,
